Code,Name,Zone,Latitude,Longitude,Distance
HML2,HOSPITAL MILITAR,PRT1,41.15683391,-8.625018991,0.185855857
PRG1,PR. DA GALIZA,PRT1,41.15346994,-8.626316097,0.211826923
PRG2,PR. DA GALIZA,PRT1,41.15336588,-8.626476494,0.228341124
HML1,HOSPITAL MILITAR,PRT1,41.15720303,-8.624172218,0.241246806
BS2,BOAVISTA - B.SUCESSO,PRT1,41.15532822,-8.628214892,0.256048388
ICDF1,IGREJA CEDOFEITA,PRT1,41.15588037,-8.622220304,0.25894757
1BS8,BOM SUCESSO,PRT1,41.15527104,-8.628342932,0.266388412
BS1,BOAVISTA - B.SUCESSO,PRT1,41.15640955,-8.627919138,0.268920434
BS9,BOAVISTA (BOM SUCESSO),PRT1,41.1557548,-8.628333247,0.273278054
BS6,BOAVISTA - B. SUCESSO,PRT1,41.15584943,-8.628307249,0.273895942
BS8,BOM SUCESSO,PRT1,41.15517709,-8.628474046,0.277112496
BS4,BOAVISTA - B.SUCESSO,PRT1,41.15602155,-8.628417596,0.288515488
BS7,BOAVISTA - B.SUCESSO,PRT1,41.15594973,-8.628463171,0.289618415
BVBR2,BOAVISTA BRASÍLIA,PRT1,41.15766158,-8.626620302,0.303088659
BS5,BOAVISTA-B.SUCESSO,PRT1,41.1561842,-8.628526959,0.303448063
BS10,BOAVISTA (BOM SUCESSO),PRT1,41.15608822,-8.628580213,0.30382323
BVBR1,BOAVISTA BRASÍLIA,PRT1,41.15754966,-8.6273298,0.321125883
PRG3,PR. DA GALIZA,PRT1,41.15255836,-8.626821488,0.321451665
PRG4,PR. DA GALIZA,PRT1,41.15253034,-8.626931875,0.328325977
PRG6,PR. DA GALIZA,PRT1,41.15240704,-8.626816811,0.336546594
CALE,R.CAMPO ALEGRE,PRT1,41.15311796,-8.62860068,0.366939686
CVA2,CARVALHOSA,PRT1,41.1561412,-8.620677402,0.390975083
CMIC2,CAROLINA MICHAELIS,PRT1,41.15816307,-8.62271318,0.39136154
CMIC1,CAROLINA MICHAELIS,PRT1,41.15791616,-8.622037529,0.402532784
BVCT1,BOAVISTA CORREIOS,PRT1,41.15821559,-8.627843112,0.406554818
TRH2,TORRINHA,PRT1,41.15319437,-8.621010511,0.411098119
TRH1,TORRINHA,PRT1,41.153304,-8.620894582,0.41309767
CVA1,CARVALHOSA,PRT1,41.15653894,-8.620119718,0.449070959
BVCM3,BOAVISTA CEMITÉRIO,PRT1,41.15719097,-8.629951585,0.459720743
CZV3,CRUZ VERMELHA,PRT1,41.15957015,-8.625277779,0.489806383
MATR,MATERNIDADE,PRT1,41.1509913,-8.622680849,0.508645324
JM2,JUNTA MASSARELOS,PRT1,41.15255252,-8.630264168,0.516503533
CDF2,CEDOFEITA,PRT1,41.15455719,-8.6188525,0.532747091
MATR1,MATERNIDADE,PRT1,41.15138523,-8.621106659,0.540506289
GONS2,GONÇALO SAMPAIO,PRT1,41.15410465,-8.631550595,0.547559557
CDF1,CEDOFEITA,PRT1,41.15512022,-8.618597312,0.549814006
BCM1,BOAVISTA-CASA DA MÚSICA,PRT1,41.15893029,-8.629495872,0.553814597
GONS1,GONÇALO SAMPAIO,PRT1,41.15420323,-8.631658559,0.554167497
BCM3,BOAVISTA-CASA DA MÚSICA,PRT1,41.15948479,-8.628572528,0.558601499
BCM5,BOAVISTA-CASA DA MÚSICA,PRT1,41.15942918,-8.628743637,0.560816737
DPV3,D.PEDRO V,PRT1,41.15105331,-8.62922836,0.570020328
CZV4,CRUZ VERMELHA,PRT1,41.16020704,-8.623733745,0.573182349
JM1,JUNTA MASSARELOS,PRT1,41.15269761,-8.631200245,0.575090297
MATR2,MATERNIDADE,PRT1,41.15058292,-8.621815307,0.581659296
BCM4,BOAVISTA-CASA DA MÚSICA,PRT1,41.15891191,-8.630063223,0.584560094
BCM2,BOAVISTA-CASA DA MÚSICA,PRT1,41.15979949,-8.628484326,0.585413607
DPV4,D.PEDRO V,PRT1,41.15097184,-8.629453839,0.588638195
MGB2,MIGUEL BOMBARDA,PRT1,41.15005515,-8.623009616,0.596248295
PAL3,PALÁCIO,PRT1,41.14951555,-8.625466477,0.628816109
CZV1,CRUZ VERMELHA,PRT1,41.16083279,-8.62458432,0.631980318
RA1,RAMADA ALTA,PRT1,41.16035831,-8.622043094,0.633727472
PAL2,PALÁCIO,PRT1,41.14917245,-8.625401225,0.666752951
CZV2,CRUZ VERMELHA,PRT1,41.16133724,-8.624742981,0.687110808
FIG,FIGUEIROA,PRT1,41.15598368,-8.616810767,0.705243808
RA2,RAMADA ALTA,PRT1,41.16083026,-8.621164971,0.713290503
TRH3,TORRINHA,PRT1,41.15192517,-8.617776785,0.715828256
PAL5,PALÁCIO,PRT1,41.14844133,-8.625044117,0.747821853
PAL4,PALÁCIO,PRT1,41.14836424,-8.624695527,0.757343434
CMS1,CASA DA MÚSICA (METRO),PRT1,41.16106954,-8.629754078,0.760635823
CMS4,CASA DA MÚSICA (METRO),PRT1,41.1611294,-8.629649737,0.762045153
GGT1,GÓLGOTA,PRT1,41.15264588,-8.633648041,0.763580876
CMS2,CASA DA MÚSICA (METRO),PRT1,41.16124373,-8.629919692,0.784358623
CMS5,CASA DA MÚSICA (METRO),PRT1,41.16130621,-8.629809677,0.785753177
QTAM1,QUINTA AMARELA,PRT1,41.16233712,-8.624643243,0.798578715
GGT2,GÓLGOTA,PRT1,41.15248199,-8.63406373,0.802655175
CMS6,CASA DA MÚSICA (METRO),PRT1,41.16156716,-8.629783521,0.810045088
MRR1,MARRACUENE,PRT1,41.1616625,-8.620253767,0.831153279
QTAM2,QUINTA AMARELA,PRT1,41.16278606,-8.624791385,0.847881435
